="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="Mean Treatment",="Mean Control",="Diff. in Means",="SE Diff. in Means",="p-value"
="logdefuncionespc",="-8.373749",="-8.251851",="-.1218982",=".0156494",="7.04e-15"
="(mean) ap4_2_3",=".1438465",=".1690607",="-.0252142",=".0007189",="4.7e-260"
="(mean) ap4_2_11",="2.167519",=".208238",="1.959281",=".0534581",="3.3e-284"
="(mean) ap4_12b",="4863.233",="6591.223",="-1727.99",="16.2342",="0"
="(mean) ap5_4_2_b",=".7138243",=".6205205",=".0933038",=".0013077",="0"
="(mean) ap5_4_8_b",=".4021202",=".2735435",=".1285767",=".0020193",="0"
="alignment with federal executive=1; 0 otherwise",=".744429",=".6791427",=".0652863",=".0066966",="2.07e-22"
="alignment with state executive=1; 0 otherwise",=".3025193",=".274952",=".0275673",=".006851",=".0000575"
="governor_pri",=".5463863",=".5599808",="-.0135945",=".0074794",=".0691405"
="Winning margin: first - second runner",=".1139004",=".1142345",="-.0003341",=".0016105",=".8356589"
="Winning margin: first - second runner (governor)",=".1402455",=".1763835",="-.0361381",=".0019613",="3.16e-75"
="pan_mayor2",=".3009324",=".2506398",=".0502926",=".0067877",="1.32e-13"
="pri_mayor2",=".4360246",=".3805182",=".0555064",=".0074111",="7.18e-14"
="morena_mayor2",=".0078027",=".0135956",="-.005793",=".0014578",=".000071"
="Observations",="21375",="",="",="",=""
